R, км||V, км/с||Tet, рад||I, рад||Omega, рад||U, рад||T, с
 8966.202, км||    7.613, км/с||    0.044, рад||    1.396, рад||    0.523, рад||    0.822, рад||  219.000, с
 8966.541, км||    7.613, км/с||    0.045, рад||    1.396, рад||    0.523, рад||    0.823, рад||  220.000, с
 8966.882, км||    7.613, км/с||    0.045, рад||    1.396, рад||    0.523, рад||    0.824, рад||  221.000, с
 8967.224, км||    7.612, км/с||    0.045, рад||    1.396, рад||    0.523, рад||    0.825, рад||  222.000, с
 8967.568, км||    7.612, км/с||    0.045, рад||    1.396, рад||    0.523, рад||    0.826, рад||  223.000, с
 8967.914, км||    7.612, км/с||    0.045, рад||    1.396, рад||    0.523, рад||    0.826, рад||  224.000, с
 8968.260, км||    7.612, км/с||    0.046, рад||    1.396, рад||    0.523, рад||    0.827, рад||  225.000, с
 8968.609, км||    7.611, км/с||    0.046, рад||    1.396, рад||    0.523, рад||    0.828, рад||  226.000, с
 8968.959, км||    7.611, км/с||    0.046, рад||    1.396, рад||    0.523, рад||    0.829, рад||  227.000, с
 8969.310, км||    7.611, км/с||    0.046, рад||    1.396, рад||    0.523, рад||    0.830, рад||  228.000, с
 8969.663, км||    7.611, км/с||    0.046, рад||    1.396, рад||    0.523, рад||    0.831, рад||  229.000, с
 8970.017, км||    7.611, км/с||    0.047, рад||    1.396, рад||    0.523, рад||    0.832, рад||  230.000, с
 8970.373, км||    7.610, км/с||    0.047, рад||    1.396, рад||    0.523, рад||    0.832, рад||  231.000, с
 8970.730, км||    7.610, км/с||    0.047, рад||    1.396, рад||    0.523, рад||    0.833, рад||  232.000, с
 8971.089, км||    7.610, км/с||    0.047, рад||    1.396, рад||    0.523, рад||    0.834, рад||  233.000, с
 8971.449, км||    7.610, км/с||    0.047, рад||    1.396, рад||    0.523, рад||    0.835, рад||  234.000, с
 8971.811, км||    7.609, км/с||    0.048, рад||    1.396, рад||    0.523, рад||    0.836, рад||  235.000, с
 8972.174, км||    7.609, км/с||    0.048, рад||    1.396, рад||    0.523, рад||    0.837, рад||  236.000, с
 8972.539, км||    7.609, км/с||    0.048, рад||    1.396, рад||    0.523, рад||    0.837, рад||  237.000, с
 8972.905, км||    7.609, км/с||    0.048, рад||    1.396, рад||    0.523, рад||    0.838, рад||  238.000, с
 8973.273, км||    7.608, км/с||    0.048, рад||    1.396, рад||    0.523, рад||    0.839, рад||  239.000, с
 8973.642, км||    7.608, км/с||    0.049, рад||    1.396, рад||    0.523, рад||    0.840, рад||  240.000, с
 8974.012, км||    7.608, км/с||    0.049, рад||    1.396, рад||    0.523, рад||    0.841, рад||  241.000, с
 8974.385, км||    7.608, км/с||    0.049, рад||    1.396, рад||    0.523, рад||    0.842, рад||  242.000, с
 8974.758, км||    7.607, км/с||    0.049, рад||    1.396, рад||    0.523, рад||    0.843, рад||  243.000, с
 8975.133, км||    7.607, км/с||    0.049, рад||    1.396, рад||    0.523, рад||    0.843, рад||  244.000, с
